Serial_ID,Question,Lesson,Grade,Difficulty,A,B,C,D,Correct Answer
30,أي الجمل التالية تحتوي ظرفًا منصوبًا بشكلٍ صحيح؟,الظرف,8,سهل,شاهدتُ الطائرةَ أثناءَ الليلِ.,ذهبتُ إلى المدينةِ سريعًا.,خرجتُ قبلَ الفجرِ.,قرأتُ الكتابَ يومِ أمسِ.,أ
31,أيّ الكلمات التالية تُعرب ظرف زمان؟,الظرف,8,صعب,تحتَ,خلفَ,صباحًا,فوقَ,ج
32,أكمل الجملة التالية بظرف زمان مناسب: خرجتُ ....... أذان المغرب.,الظرف,7,صعب,فوقَ,بينَ,قربَ,قبلَ,د
33,ما الكلمة التي يمكن أن تكون ظرفًا في الجملة (زارنا الضيف .......)؟,الظرف,8,سهل,بيت,أمس,الكريم,جلس,ب
34,ما الإعراب الصحيح لكلمة (خارجًا) في الجملة: قف خارجًا عن الصف؟,الظرف,7,سهل,مفعول به منصوب,ظرف مكان منصوب,حال منصوب,فاعل مرفوع,ب
35,اختر الظرف المناسب للجملة: استيقظتُ ... الفجر.,الظرف,7,صعب,بينَ,فوقَ,بعدَ,قبلَ,د
36,أي من الكلمات تُعرب ظرف مكان؟,الظرف,8,صعب,الآن,ليلاً,قربَ,غدًا,ج
37,في أي من الجمل التالية يمكن إعراب ما تحته خط ظرفًا؟,الظرف,9,متوسط,وصلنا (صباحًا),رأيتُ (القائد),اُكتب (سريعًا),الكتابُ (جديد),أ
38,أكمل الجملة بظرف مكان مناسب: وقف الطلاب ....... السبورة.,الظرف,6,متوسط,قبلَ,أمس,بعدَ,خلفَ,د
39,"استخرج الظرف من الجملة: ""اضطجع المريض تحت الشجرة"".",الظرف,7,صعب,الشجرة,تحت,اضطجع,المريض,ب
40,"ما إعراب (فوقَ) في الجملة: ""الحقُّ فوقَ القوة""؟",الظرف,10,متوسط,حال منصوب,مفعول به منصوب,ظرف زمان منصوب,ظرف مكان منصوب,د
41,"ما الكلمة التي تعرب ظرفًا في الجملة: ""سافرنا شرق المدينة""؟",الظرف,7,متوسط,لا يوجد ظرف,سافرنا,شرق,المدينة,ج
42,"تُعرب كلمة 'مساءً' في الجملة: ""زرتُهُ مساءً قبل أن يسافر"" بأنها:",الظرف,8,صعب,ظرف زمان,ظرف مكان,مضاف إليه,مفعول به,أ
43,"ما إعراب كلمة 'فوق' في الجملة: ""وضعت الكتاب فوق الطاولة""؟",الظرف,8,سهل,ظرف مكان,جار ومجرور,خبر,مفعول به,أ
44,"إذا كان الظرف منصوبًا دائمًا، فما إعراب كلمة 'صباحًا' في الجملة: ""خرجنا صباحًا إلى المدرسة""؟",الظرف,9,سهل,مضاف إليه,حالة نصب على غير الظرفية,مفعول به,ظرف زمان منصوب,د
45,"كلمة 'خلف' في الجملة: ""جلست خلف النافذة"" تعرب بأنها:",الظرف,7,سهل,مضاف إليه,جار ومجرور,ظرف مكان,اسم مجرور,ج
46,أي الجمل التالية تحتوي على ظرف مكان؟,الظرف,9,سهل,"""سافرنا مساءً.""","""انتظر خارجًا.""","""ستبدأ الحصة بعد قليل.""","""لم نحضر إلى هنا.""",د
47,ما الفرق بين 'ظرف المكان' و'ظرف الزمان'؟,الظرف,10,متوسط,المكان يدل على الحيز، والزمان يدل على العدد.,المكان يدل على الموقع، والزمان يدل على الزمن.,المكان منصوب دائمًا، والزمان مجرور دائمًا.,لا يوجد فرق بينهما من حيث الإعراب.,ب
48,"كلمة 'قبل' في الجملة: ""قرأت الكتاب قبل النوم"" تعرب بأنها:",الظرف,8,صعب,ظرف مكان,مضاف إليه,مفعول به,ظرف زمان,د
49,أي من الكلمات التالية لا يمكن أن تكون ظرفًا؟,الظرف,9,متوسط,قريبًا,داخل,خلال,جانب,ج
50,"ما نوع الظرف في الجملة: ""سيتحدث الرئيس عقب الاجتماع""؟",الظرف,8,سهل,ظرف زمان,مفعول به,ظرف مكان,اسم مجرور,أ
51,"حدد الظرف في الجملة التالية: ""سافرتُ بعيدا عن وطني.""",الظرف,7,سهل,وطني,عن,بعيدا,سافرت,ج
52,"ما إعراب كلمة (ليلاً) في الجملة: ""أقرأ الكتب ليلاً.""؟",الظرف,8,صعب,حال منصوب,ظرف زمان منصوب,مفعول به ثانٍ,مضاف إليه,ب
53,في أي الجمل يكون الظرف في محل جر؟,الظرف,9,سهل,قرأتُ الكتاب مساءً.,ركضنا بعيداً عن الطريق.,ذهبتُ إلى السوق صباحاً.,جلستُ تحت الشجرة.,د
54,"حدد عدد الأظرف في الجملة: ""اتجه الطالب شرقاً في الصباح.""",الظرف,7,صعب,لا يوجد,ظرف واحد,ثلاثة أظرف,ظرفان,د
55,"ما نوع الظرف في الجملة التالية: ""وقف المعلم أمام الطلاب.""؟",الظرف,7,سهل,مفعول به,ظرف مكان,ظرف زمان,مفعول مطلق,ب
56,"ما إعراب كلمة (حينَ) في الجملة: ""حينَ غابت الشمس عدتُ إلى البيت.""؟",الظرف,9,متوسط,مجرور,ظرف زمان منصوب,مفعول له,بدل مرفوع,ب
57,"ما وظيفة الظرف (فوق) في الجملة: ""وضعت الكتاب فوق الطاولة.""؟",الظرف,7,متوسط,يدل على الحال,يدل على المكان,يدل على الزمان,وظيفته بديل,ب
58,ما الفرق بين الظرفين (خلف) و(سابقاً)؟,الظرف,8,سهل,كلاهما ظروف زمان,كلاهما ظروف مكان,خلف ظرف زمان وسابقاً ظرف مكان,خلف ظرف مكان وسابقاً ظرف زمان,د
59,"أكمل الجملة بظرف مناسب: ""قفْ ....... الطابور.""",الظرف,7,متوسط,بين,تحت,قبل,كل ما سبق,د
60,أي الجمل التالية تشتمل على ظرف مكان؟,الظرف,7,سهل,رأيتُ الهلال صباحاً.,صعدتُ الجبل شروقاً.,سافرتُ ليلاً.,وضعت القلم أسفل الدرج.,د
61,"ما نوع الظرف في الجملة الآتية: ""سافرت صباحًا إلى المدرسة""؟",الظرف,7,متوسط,ظرف مكان,ظرف زمان,مفعول به,بدل,ب
62,"أين الظرف في الجملة التالية: ""جلس الطالب أمامَ المعلم باحترام""؟",الظرف,8,سهل,باحترام,أمامَ,الطالب,جلس,ب
63,اختر الجملة التي تحتوي على ظرف مكان:,الظرف,7,متوسط,قرأت الكتاب صباحًا.,سافر أبي إلى المدينة.,نجح الطالب بفضل جهوده.,وقف الجندي على الحدود.,د
64,"ما إعراب كلمة (فوق) في الجملة: ""وضعت الكتاب فوق الطاولة""؟",الظرف,9,متوسط,مفعول به منصوب,حال منصوب,ظرف مكان منصوب,ظرف زمان منصوب,ج
65,اختر الجملة التي تحتوي على ظرف زمان:,الظرف,7,سهل,سافر محمد مساءً.,يقف المعلم أمام الطلاب.,ذهبت البنت إلى المدرسة.,جلس الطفل تحت الشجرة.,أ
66,أي من الكلمات الآتية تُعتبر ظرفًا؟,الظرف,7,متوسط,الكتاب,يمشي,بعدَ,البيت,ج
67,"ما إعراب كلمة (أمام) في الجملة: ""ظهر الحق أمامَ الجميع""؟",الظرف,8,صعب,ظرف زمان منصوب,ظرف مكان منصوب,بدل منصوب,ظرف مكان مجرور,ب
68,في أي جملة يُستخدم ظرف مكان؟,الظرف,8,صعب,اشتريت الكتاب اليوم.,سأبقى هنا حتى الغد.,درست طوال الليل.,جلس أحمد بجانب النافذة.,د
69,"ما نوع الظرف في الجملة: ""التقيت بأصدقائي مساءً""؟",الظرف,8,صعب,حال,ظرف مكان,ظرف زمان,مضاف إليه,ج
70,الجملة التي تحتوي على ظرف مكان هي:,الظرف,7,صعب,قرأت الكتاب ساعةً.,ركض اللاعب بسرعة.,جلست الأسرة تحت المظلة.,أديت الصلاة فجرًا.,ج
71,اختر الجملة التي تحتوي على ظرف وأعربه: 'أزور المكتبة صباحًا.',الظرف,7,سهل,تحتوي على ظرف مكان وهو (المكتبة),لا تحتوي على ظرف,تحتوي على مفعول به وهو (المكتبة),تحتوي على ظرف زمان وهو (صباحًا),د
72,في جملة: 'يُصلي المؤمنون الفجر عند المسجد.' حدد نوع الظرف.,الظرف,8,سهل,ظرف زمان,اسم مجرور,ظرف مكان,مفعول به,ج
73,ما الظرف في الجملة: 'وقف المغني خلف الستار أثناء الاستراحة.'؟,الظرف,8,صعب,خلف: ظرف مكان / أثناء: ظرف زمان,أثناء: مفعول به / خلف: ظرف مكان,خلف: ظرف زمان / أثناء: ظرف مكان,ليس في الجملة ظرف,أ
74,أعرب كلمة 'أمام' في الجملة: 'وجد الطلاب مقاعدهم أمام السبورة مباشرة.',الظرف,8,سهل,ظرف مكان منصوب,حال منصوب,مفعول به منصوب,اسم مجرور,أ
75,حدد الظرف وعدده: 'يكتب المقال ليلاً وفي السطح.',الظرف,9,صعب,ظرفين (ليلاً: مفعول به، السطح: مفعول به),ظرفان (ليلاً: ظرف زمان، السطح: ظرف مكان),ظرف واحد (ليلاً: ظرف زمان),لا تحتوي الجملة على ظرف,ب
76,اكتشف الظرف في الجملة: 'يسكن المزارع قريبًا من النهر.' واعربه.,الظرف,8,متوسط,قريبًا: ظرف مكان منصوب,قريبًا: ظرف زمان منصوب,لا يحتوي على ظرف,النهر: ظرف مكان منصوب,أ
77,في جملة: 'وقف المتظاهرون أسفل الجسر ظهرًا.' تحديد نوع الظرف وحكمه.,الظرف,10,صعب,كلاهما مفعول به منصوب,أسفل: ظرف مكان منصوب، ظهرًا: ظرف زمان منصوب,أسفل: ظرف زمان منصوب، ظهرًا: ظرف مكان منصوب,أسفل: اسم مجرور، ظهرًا: ظرف زمان مجرور,ب
78,في جملة 'رأيت الطائر مساءً فوق الشجرة.' ما نوع كلمة 'فوق'؟,الظرف,8,متوسط,مفعول به منصوب,ظرف زمان منصوب,اسم مجرور,ظرف مكان منصوب,د
79,ما نوع الظرف في الجملة: 'قام التلاميذ مبكرًا وركضوا ناحية الملعب.'؟,الظرف,8,سهل,كلاهما ظرف زمان,مبكرًا: ظرف زمان / ناحية: اسم مجرور,مبكرًا: ظرف زمان / ناحية: ظرف مكان,مبكرًا: مفعول به / ناحية: ظرف مكان,ج
80,اختر الجملة الصحيحة من حيث وجود الظرف ومعناه: 'وصل السياح ظهرًا داخل المتحف.',الظرف,8,صعب,تحتوي على ظرف مكان فقط,تحتوي على ظرف زمان (ظهرًا) وظرف مكان (داخل),تحتوي على ظرف زمان فقط,لا تحتوي على أي ظرف,ب
81,اجلسْ ..... النافذة. اختر الظرف الصحيح,الظرف,9,سهل,أسفل,خارج,الجميع صحيح,أمام,ج
82,ما الظرف الصحيح في الجملة: رأيت الطائرة تحلق .... المدينة؟,الظرف,7,متوسط,بعد,فوق,حيث,قبل,ب
83,ما إعراب كلمة (بين) في الجملة: 'يعيش السمك بين الأمواج'؟,الظرف,8,سهل,خبر مرفوع,ظرف مكان منصوب,مفعول به منصوب,ظرف زمان منصوب,ب
84,ما نوع الظرف في الجملة: 'أزور أصدقائي ليلة العيد'؟,الظرف,7,متوسط,ظرف مكان,جار ومجرور,مفعول به,ظرف زمان,د
85,حدد الظرف في الجملة: 'وقف اللاعب بجانب المدرب'.,الظرف,7,متوسط,وقف,المدرب,اللاعب,بجانب,د
86,أي الخيارات التالية صحيح: الظروف دائما تكون:,الظرف,8,صعب,مرفوعة,مبنية,منصوبة,مجرورة,ج
87,ما الظرف في الجملة: 'أخذت الكتاب من فوق المنضدة'؟,الظرف,8,صعب,من,المنضدة,أخذت,فوق,د
88,أكمل الجملة: 'يقف القائد .... الجنود' بالظرف المناسب.,الظرف,7,سهل,بين,خلف,كل الخيارات صحيحة,أمام,ج
89,ما إعراب كلمة (حيث) في الجملة: 'اذهب حيث تريد'؟,الظرف,9,متوسط,ظرف زمان مبني في محل نصب,جار ومجرور,ظرف مكان مبني في محل نصب,مفعول به منصوب,ج
90,ما الفرق بين (خلف) و(خلفك) من حيث النحو؟,الظرف,9,متوسط,(خلف) اسم مجرور و(خلفك) مرفوع.,(خلف) ظرف مكان و(خلفك) ظرف مضاف.,(خلف) ظرف مبني و(خلفك) مرفوع.,لا فرق بينهما.,ب
91,"أي من الكلمات التالية تعتبر ظرفاً للزمان في الجملة: ""استيقظتُ صباحاً وذهبتُ إلى المدرسة""؟",الظرف,7,سهل,استيقظتُ,المدرسة,ذهبتُ,صباحاً,د
92,حدد الجملة التي تحتوي على ظرف مكان:,الظرف,8,متوسط,انتظرتُك طويلاً.,درستُ مبكراً.,استراح العامل قليلاً.,قابلتُ صديقي عند الباب.,د
93,"ما إعراب كلمة (فوق) في الجملة: ""وضعتُ الكتاب فوق الطاولة""؟",الظرف,8,سهل,ظرف مكان منصوب.,اسم مجرور بحرف جر.,بدل منصوب.,ظرف زمان منصوب.,أ
94,الجملة التي تحتوي على أكثر من ظرف هي:,الظرف,7,متوسط,الطالب يجلس أمام المعلم.,استراح الرجل تحت الشجرة.,وصلتُ ظهراً.,ذهبتُ صباحاً إلى المدرسة.,د
95,"في الجملة: ""سأل المعلم الطالب عن سبب تأخره أمسِ""، إعراب كلمة (أمسِ) هو:",الظرف,8,سهل,ظرف مكان مجرور.,ظرف زمان منصوب.,ظرف زمان مبني.,اسم مجرور.,ج
96,في أي جملة يعتبر الظرف مبهماً يحتاج إلى تفسير؟,الظرف,10,سهل,قرأتُ الكتاب ليلاً.,ذهبتُ بعيداً.,جلستُ تحت الشجرة.,ركضتُ ناحية الباب.,ب
97,"ما نوع الظرف في الجملة: ""وصلتُ المدرسة على عجل""؟",الظرف,7,متوسط,ظرف حال.,ظرف زمان.,ظرف مكان.,ليس ظرفاً.,أ
98,اختر الجملة التي تحتوي على ظرف زمان:,الظرف,7,سهل,خرجتُ من المنزل ليلاً.,الطلاب في ساحة المدرسة.,وضعتُ الكرسي تحت الشجرة.,جلس الولد بجانب النافذة.,أ
99,"في الجملة: ""سأزورك بعد قليل""، إعراب كلمة (بعد) هو:",الظرف,8,متوسط,ظرف مكان منصوب.,جار ومجرور.,ظرف زمان منصوب.,ظرف حال منصوب.,ج
100,"ما الظرف في الجملة: ""جلسنا على التل طويلاً""؟",الظرف,7,سهل,جلسنا.,طويلاً.,على.,التل.,ب
101,أسافر إلى مكة (شهرًا)، وأقيم (قريبًا) من الحرم. حدد الظرف ونوعه.,الظرف,9,سهل,شهرًا: ظرف مكان، قريبًا: ظرف زمان,شهرًا: ظرف زمان، قريبًا: ظرف مكان,كلاهما ظرف زمان,كلاهما ظرف مكان,ب
102,"الجملة: ""اجتهد الطالب صباحًا"". ما هو إعراب كلمة ""صباحًا""؟",الظرف,8,سهل,مضاف إليه,ظرف مكان منصوب,ظرف زمان منصوب,حال منصوب,ج
103,"ما نوع الظرف في الجملة: ""وقف الجيش أمام القائد""؟",الظرف,7,متوسط,حال,ظرف مكان,مفعول به,ظرف زمان,ب
104,من الأمثلة على ظرف الزمان:,الظرف,7,صعب,فوق,تحت,ليلًا,أمام,ج
105,اختر الجملة التي تحتوي على ظرف زمان:,الظرف,7,سهل,الكتاب بجانب السرير,قابلته عند الباب,سافرت فوق السحاب,جاء أحمد ظهرًا,د
106,"صنّف الظرف في جملة: ""سار الرجل خلف السيارة"".",الظرف,8,متوسط,حال,ظرف مكان,ظرف زمان,مفعول به,ب
107,"الجملة: ""قابلتك مساءً"". ما هو نوع الظرف ""مساءً""؟",الظرف,8,متوسط,حال منصوب,ظرف مكان منصوب,ظرف زمان منصوب,مفعول لأجله,ج
108,أي الجمل التالية تحتوي على ظرف مكان؟,الظرف,7,صعب,جلست أسفل الشجرة,استيقظت مبكرًا,انتظرتك طويلاً,خرجت قبل الغروب,أ
109,"في جملة: ""ينتشر الضوء حول القمر""، ما هو إعراب ""حول""؟",الظرف,8,صعب,ظرف زمان,مفعول به,حال,ظرف مكان,د
110,"الجملة: ""سأزورك غدًا"". ما هو الظرف في هذه الجملة؟",الظرف,7,صعب,غدًا,لا يوجد ظرف,سأزورك,سأزور,أ
111,سافرت إلى القرية (ليلاً). كلمة (ليلاً) تعرب:,الظرف,8,متوسط,ظرف مكان منصوب,مفعول لأجله,ظرف زمان منصوب,مفعول مطلق,ج
112,أقيم الصلاة بعد الفجر مباشرة. الظرف في الجملة هو:,الظرف,7,سهل,الصلاة,مباشرة,الفجر,بعد,د
113,ذهبت إلى الحديقة (قرب) المغرب. كلمة (قرب) تعرب:,الظرف,9,صعب,ظرف مكان منصوب,ظرف مكان مجرور,ظرف زمان منصوب,ظرف زمان مجرور,ج
114,يعمل المُزارع (بيْنَ) الحقول يومياً. كلمة (بيْنَ) تعرب:,الظرف,8,متوسط,حال,ظرف مكان منصوب,ظرف زمان,مفعول به,ب
115,جلس التلاميذ (حولَ) المعلم باهتمام. ما نوع الظرف (حولَ)؟,الظرف,9,سهل,ظرف زمان منصوب,ظرف زمان مجرور,ظرف مكان مجرور,ظرف مكان منصوب,د
116,تشرق الشمس (صباحاً) وتغيب (عشيةً). ما نوع الظرفين (صباحاً) و(عشيةً)؟,الظرف,8,سهل,كلاهما ظرف زمان,كلاهما ظرف مكان,الأول ظرف زمان والثاني ظرف مكان,الأول ظرف مكان والثاني ظرف زمان,أ
117,التقَيت بصديقي (قربَ) المكتبة. ما إعراب (قربَ)؟,الظرف,8,متوسط,بدل مجرور,ظرف مكان منصوب,ظرف زمان منصوب,حال منصوب,ب
118,وقفت الطائرة (فوقَ) السحاب (ليلًا). ما أنواع الظرفين؟,الظرف,9,صعب,كلاهما ظرف مكان,الأول ظرف مكان والثاني ظرف زمان,كلاهما ظرف زمان,الأول ظرف زمان والثاني ظرف مكان,ب
119,شرحت المعلمة الدرس (داخل) الفصل. كلمة (داخل):,الظرف,7,صعب,ظرف مكان منصوب,ظرف زمان,مجرور,مبتدأ,أ
120,سأصل إلى البيت (بعدَ) المغرب. كلمة (بعدَ) تعرب:,الظرف,8,سهل,ظرف مكان منصوب,مضاف إليه مجرور,ظرف زمان منصوب,حال,ج
121,اختر الجملة التي تحتوي على ظرف مكان:,الظرف,8,صعب,قرأت الكتاب ليلًا.,جلست تحت الشجرة.,أكلت السمك أمس.,سافرت إلى مكة.,ب
122,إعراب كلمة (تحت) في الجملة: (جلست تحت الشجرة) هو:,الظرف,8,صعب,ظرف زمان مجرور,ظرف زمان منصوب,اسم مجرور,ظرف مكان منصوب,د
123,أي من الخيارات يمثل ظرفي زمان ومكان معًا في الجمل الآتية؟,الظرف,7,متوسط,قرأت الكتاب عند الشروق.,اجتمعنا مساءً وفي الحديقة.,سافرنا جوًا.,وقفت بجانب البحر.,ب
124,ظرف الزمان في الجملة: (سنذهب إلى الملعب بعد العصر) هو:,الظرف,8,متوسط,الملعب,بعد,العصر,إلى,ب
125,في جملة: (وقفت بين الصفين)، ظرف المكان هو:,الظرف,8,سهل,الصفين,وقفت,بين,لا يوجد ظرف,ج
126,أي الجمل تحتوي على ظرف زمان؟,الظرف,8,سهل,زرعت وردة أمام المنزل.,شاهدت الطيور قريبًا من المنزل.,جلست بجانب النافذة.,سافرنا صباحًا إلى القرية.,د
127,أكمل الجملة بظرف زمان ملائم: (بدأنا العمل ......),الظرف,7,صعب,قريبًا,فوق,أمام,بين,أ
128,كلمة (بين) في جملة (وقعت بين الكتب):,الظرف,8,صعب,ظرف مكان منصوب,ظرف زمان منصوب,ظرف زمان مجرور,ظرف مكان مجرور,أ
129,نوع الظرف في الجملة (جلست تحت الشجرة في المساء):,الظرف,7,صعب,ظرف زمان ومكان,ظرف مكان فقط,ظرف زمان فقط,لا يوجد ظرف,أ
130,ما الفرق بين (على الطاولة) و(بين الطاولات)؟,الظرف,8,متوسط,الأول مجرور، والثاني ظرف مكان,الأول ظرف مكان، الثاني مجرور,الأول ظرف زمان، الثاني مجرور,الأول والثاني ظرف مكان,د
131,وقفتُ خلف المنزل. إعراب كلمة (خلف) هو:,الظرف,7,متوسط,اسم مجرور وعلامة جره الكسرة,ظرف مكان منصوب وعلامة نصبه الفتحة,مفعول به منصوب وعلامة نصبه الفتحة,ظرف زمان منصوب وعلامة نصبه الفتحة,ب
132,جلستُ عند النافذة. إعراب كلمة (عند) هو:,الظرف,8,متوسط,مفعول به منصوب وعلامة نصبه الفتحة,ظرف مكان منصوب وعلامة نصبه الفتحة,ظرف مكان مجرور بالكسرة,اسم مجرور وعلامة جره الكسرة,ب
133,غادرتُ إلى المدرسة صباحًا. إعراب كلمة (صباحًا) هو:,الظرف,8,سهل,ظرف زمان منصوب وعلامة نصبه الفتحة,مفعول به منصوب وعلامة نصبه الفتحة,حال منصوب وعلامة نصبه الفتحة,اسم مجرور وعلامة جره الكسرة,أ
134,سافرَ أخي في المساء. إعراب كلمة (المساء):,الظرف,8,سهل,مفعول به منصوب وعلامة نصبه الفتحة,اسم مجرور وعلامة جره الكسرة,خبر مرفوع وعلامة رفعه الضمة,ظرف زمان منصوب وعلامة نصبه الفتحة,ب
135,جاء المُعلِّم صباحًا. ما نوع (صباحًا) في الجملة؟,الظرف,7,صعب,ظرف زمان منصوب,حال منصوب,مفعول به منصوب,صِفة مرفوعة,أ
136,وقفتُ أمام المدرسة. إعراب كلمة (أمام) هو:,الظرف,8,متوسط,حال منصوب وعلامة نصبه الفتحة,مبتدأ مرفوع وعلامة رفعه الضمة,اسم مجرور وعلامة جره الكسرة,ظرف مكان منصوب وعلامة نصبه الفتحة,د
137,جلس التلاميذ حول الطاولة. إعراب كلمة (حول) هو:,الظرف,8,متوسط,مبتدأ مرفوع وعلامة رفعه الضمة,مفعول به منصوب وعلامة نصبه الفتحة,ظرف مكان منصوب وعلامة نصبه الفتحة,اسم مجرور وعلامة جره الكسرة,ج
138,ذهب الموظف بعدَ الاجتماع. إعراب كلمة (بعدَ):,الظرف,9,سهل,ظرف زمان منصوب وعلامة نصبه الفتحة,مضاف إليه مجرور وعلامة جره الكسرة,اسم مجرور وعلامة جره الكسرة,حال منصوب وعلامة نصبه الفتحة,أ
139,أعدتُ الكتاب فوق الطاولة. إعراب كلمة (فوق):,الظرف,9,متوسط,مبتدأ مرفوع وعلامة رفعه الضمة,اسم مجرور وعلامة جره الكسرة,حال منصوب وعلامة نصبه الفتحة,ظرف مكان منصوب وعلامة نصبه الفتحة,د
140,أقف بقرب النافذة. إعراب كلمة (بقرب):,الظرف,8,متوسط,مفعول به منصوب وعلامة نصبه الفتحة,اسم مجرور وعلامة جره الكسرة,ظرف مكان منصوب وعلامة نصبه الفتحة,حال منصوب وعلامة نصبه الفتحة,ب
141,اسم المفعول من الفعل (كتب) هو:,اسم المفعول,7,صعب,مكتوب,كتاب,كتابة,كاتب,أ
