SerialID,Source,orgSerial,Grade,GradeName,Lesson,DifficultyLevel,DifficultyName,Question,A,B,C,D,Explanation,GPT-4o-mini,GPT-4o-mini-Correct,GPT4o-mini-Lesson
6035,الصفوف الدراسية,7583,6,مرحلة ابتدائية,الأفعال الخمسة,1,سهل,الأفعال الخمسة هي كلُّ فعل مضارع اتَّصلت به: ألف الاثنين، أو واو الجماعة، أو ....,ياء المخاطبة,ياء المتكلِّم,نون النسوة,تاء الفاعل,الأفعال الخمسة هي كل فعل مضارع اتَّصلت به: ألف الاثنين، أو واو الجماعة، أو ياء المخاطبة.,قواعد نظرية,,
6036,الصفوف الدراسية,7593,6,مرحلة ابتدائية,الأفعال الخمسة,1,سهل,"""....... يريدان أن يخرجاكم من أرضكما "". علامة نصب (يخرجاكم):",حذف النون,الفتحة,الألف,الفتحة المقدرة,(يخرجاكم) فعل من الأفعال الخمسة؛ لأنَّه فعلٌ مضارعٌ، واتَّصلت به ألف الاثنَين، وهو منصوب بحذف النون.,تطبيقي,,
6037,الصفوف الدراسية,7582,6,مرحلة ابتدائية,الأفعال الخمسة,1,سهل,علامة رفع الأفعال الخمسة هي .......,ثبوت النون,حذف النون,الألف,الواو,الأفعال الخمسة تُرفَع بثبوت النون، وتُنصَب وتُجزَم بحذف النون.,قواعد نظرية,,
6038,الصفوف الدراسية,7586,6,مرحلة ابتدائية,الأفعال الخمسة,1,سهل,"""ولا تخافي ولا تحزني "". الفعل المضارع (تخافي):",مجزوم بحذف النون,منصوب بحذف النون,مجزوم بحذف حرف العلة,مرفوع,الأفعال الخمسة تُرفَع بثبوت النون، وتُنصَب وتُجزَم بحذف النون.,قواعد نظرية,,
6039,الصفوف الدراسية,7645,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,يقاومن [من الأفعال الخمسة أم لا؟ ],يقاومان [من الأفعال الخمسة أم لا؟ ],تقاومون [من الأفعال الخمسة أم لا؟ ],تقاومين [من الأفعال الخمسة أم لا؟ ],كلُّ الأفعال الواردة من الأفعال الخمسة – ما عدا (يقاومن) المتَّصل بنون النّسوة، فهو ليس من الأفعال الخمسة (ومبنيٌّ على السُّكون).,تطبيقي,,
6040,الصفوف الدراسية,7637,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,الأفعال الخمسة .......,مضارعة فقط,ماضية فقط,مضارعة، أو ماضية,مضارعة، أو ماضية، أو أمر,الأفعال الخمسة لا تكون إلا أفعالا مضارعة.,قواعد نظرية,,
6041,الصفوف الدراسية,7662,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,إني معينكم فلا تخذلوني. الفعل المضارع (تخذلوني):,مجزوم، وعلامة جزمه حذف النون,مرفوع، وعلامة رفعه ثبوت النون,منصوب، وعلامة نصبه حذف النون,مجزوم، وعلامة جزمه حذف حرف العلة,الفعل المضارع (تخذلوني) مجزوم، وعلامة جزمه حذف النون (النُّون فيه هي نون الوقاية).,قواعد نظرية,,
6042,الصفوف الدراسية,7640,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,أنتِ ....... مذاكرتكِ.,لا تهملِين,لا تهملي,تهملي,لا تهملْ (بتسكين اللَّام),إعراب (لا تهملِين): (لا): (لا) النافية لا تؤثِّر في الفعل المضارع، و (تهملِين): فعل مضارع مرفوع، وعلامة الرفع ثبوت النون.,تطبيقي,,
6043,الصفوف الدراسية,7653,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,تلين [من الأفعال الخمسة أم لا؟ ],تقومان [من الأفعال الخمسة أم لا؟ ],تنالون [من الأفعال الخمسة أم لا؟ ],تقولين [من الأفعال الخمسة أم لا؟ ],كلُّ الأفعال الواردة من الأفعال الخمسة – ما عدا (تلين)؛ فالياء والنُّون فيه أصليَّتان.,قواعد نظرية,,
6044,الصفوف الدراسية,7631,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,لـ ....... العملَ.,تخلصي,تخلصين,تخلصون,تخلصان,إعراب (تخلصي): فعل مضارع مجزوم بعد لام الأمر، وعلامة الجزم حذف النون؛ لأنه من الأفعال الخمسة.,تطبيقي,,
6045,الصفوف الدراسية,7633,6,مرحلة ابتدائية,الأفعال الخمسة,2,متوسط الصعوبة,لتنجزوا عملكم في أسرع وقتٍ. الفعل المضارع (تنجزوا) ورد في الجملة:,مجزومًا,مرفوعًا,منصوبًا,مبنيًّا,(لام الأمر) أداة من أدوات جزم الفعل المضارع.,تطبيقي,,
6046,الصفوف الدراسية,7617,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,حدِّد المختلف فيما يلي:,علامة نصب الفعل المضارع (يهون),علامة نصب الفعل المضارع (يشربون),علامة نصب الفعل المضارع (تعرفين),علامة نصب الفعل المضارع (ينامان),الأفعال (يشربون – تعرفين – ينامان) جميعها من الأفعال الخمسة، ولو وردت منصوبةً تُنصَب بحذف النُّون – أمَّا (يهون) فعلامة نصبه الفتحة الظَّاهرة (ليس من الأفعال الخمسة؛ لأنَّ الواو والنُّون فيه أصليَّتان).,قواعد نظرية,,
6047,الصفوف الدراسية,7603,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,"""فإن لم تأتوني به فلا كيل لكم عندي "". علامة جزم (تأتوني) هي:",حذف النون,السكون,حذف حرف العلة,ثبوت النون,النون في (تأتوني) اسمها نون الوقاية، وهي تتَّصل بالفعل قبل ياء المتكلِّم، والفعل مجزوم بحذف النون.,قواعد نظرية,,
6048,الصفوف الدراسية,7597,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,فعل واحد من الأفعال الآتية من الأفعال الخمسة:,يُقدِّموا,قدَّموا (بفتح الدال المضعَّفة),قدِّموا (بكسر الدال المضعَّفة),تَقَدَّموا (بفتح التَّاء والدَّال المضعَّفة),الأفعال الخمسة هي كلُّ فعل مضارع اتَّصلت به: ألف الاثنين، أو واو الجماعة، أو ياء المخاطبة.,تطبيقي,,
6049,الصفوف الدراسية,7606,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,هن لم يهملن في مذاكرتهن. الفعل المضارع (يهملن):,ليس من الأفعال الخمسة,من الأفعال الخمسة,منصوب,مرفوع,الأفعال الخمسة هي كل فعل مضارع اتَّصلت به: ألف الاثنين، أو واو الجماعة، أو ياء المخاطبة.,قواعد نظرية,,
6050,الصفوف الدراسية,7608,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,....... إلى الخير.,لتدعوا,لتدعوْن,لتدعين,تدعوا,اللام في (لتدعوا) هي لام الأمر، والفعل المضارع بعدها مجزوم، وعلامة الجزم حذف النون؛ لأنه من الأفعال الخمسة.,تطبيقي,,
6051,الصفوف الدراسية,7614,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,حدِّد المختلف فيما يلي:,يتمسَّكون [من الأفعال الخمسة أم لا؟ ],يصون [من الأفعال الخمسة أم لا؟ ],يكون [من الأفعال الخمسة أم لا؟ ],يخون [من الأفعال الخمسة أم لا؟ ],الواو والنُّون أصليَّتان في كلٍّ من (يكون – يخون – يصون) – أمَّا (يتمسَّكون) فهو من الأفعال الخمسة (الواو فيه هي واو الجماعة، والنُّون هي علامة رفع الأفعال الخمسة).,تطبيقي,,
6052,الصفوف الدراسية,7607,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,المجتهدون لا يتهاونون في أداء واجبهم. بتحويل هذه الجملة إلى جملة فعلية تصبح:,لا يتهاون المجتهدون في أداء واجبهم,لا يتهاونون المجتهدون في أداء واجبهم,لا يتهاونوا المجتهدون في أداء واجبهم,لا يتهاون المجتهدين في أداء واجبهم,الفعل في بداية الجملة يلزم صورة المفرد.,تطبيقي,,
6053,الصفوف الدراسية,7611,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,الأولاد لم يسيروا ببطء. إذا استبدلنا بكلمة (الأولاد) كلمة (الولد) تصبح الجملة:,الولد لم يسر ببطء,الولد لم يسير ببطء,الولد لم يسيرا ببطء,الولد لم يسيروا ببطء,الصواب: الولد لم يسر ببطء، والفعل مجزوم بالسكون، وحُذِفت الياء لعدم تجاوُر حرفَين ساكنَين.,تطبيقي,,
6054,الصفوف الدراسية,7619,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,حدِّد المختلف فيما يلي:,علامة جزم الفعل المضارع (يلين),علامة جزم الفعل المضارع (تمشين),علامة جزم الفعل المضارع (تفهمين),علامة جزم الفعل المضارع (تتناقشين),الأفعال (تمشين – تفهمين – تتناقشين) جميعها من الأفعال الخمسة، ولو وردت مجزومةً تُجزَم بحذف النُّون – أمَّا (يلين) فعلامة جزمه السُّكون (ليس من الأفعال الخمسة؛ لأنَّ الياء والنُّون فيه أصليَّتان).,قواعد نظرية,,
6055,الصفوف الدراسية,7612,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,جملة واحدة مما يلي صحيحة:,المسلمون لا يقدِّمون لغيرهم إلا الخير,لا تقدِّمون لغيركم إلا الخير,المسلمون لم يقدِّمون لغيرهم إلا الخير,المسلمون لن يقدِّمون لغيرهم إلا الخير,الأفعال الخمسة تُرفَع بثبوت النون، وتُنصَب وتُجزَم بحذف النون.,تطبيقي,,
6056,الصفوف الدراسية,7621,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,حدِّد المختلف فيما يلي:,المضارع المتَّصل بنون النّسوة,المضارع المتَّصل بألف الاثنَين,المضارع المتَّصل بواو الجماعة,المضارع المتَّصل بياء المخاطبة,المضارع المتَّصل بـ (ألف الاثنَين - واو الجماعة - ياء المخاطبة) يكون من الأفعال الخمسة – أمَّا المضارع المتَّصل بنون النّسوة فلا (بل يكون مبنيًّا على السُّكون).,قواعد نظرية,,
6057,الصفوف الدراسية,7602,6,مرحلة ابتدائية,الأفعال الخمسة,3,صعب,ذاكري كي تنجحي:,الفعل الأول مبني، والثاني منصوب,الفعل الأول مجزوم، والثاني منصوب,الفعلان مبنيان,الفعلان منصوبان,فعل الأمر مبني دائمًا، والأفعال الخمسة تُرفَع بثبوت النون، وتُنصَب وتُجزَم بحذف النون.,تطبيقي,,
6058,الصفوف الدراسية,7674,6,مرحلة ابتدائية,الظرف,1,سهل,يقف المعلِّم أمام التلاميذ. كلمة (أمام):,منصوبة,مرفوعة,مجرورة,مجزومة,الظرف من المنصوبات.,تطبيقي,,
6059,الصفوف الدراسية,7671,6,مرحلة ابتدائية,الظرف,1,سهل,أتناول الأدوية بعد الغذاء. الظرف في الجملة هو:,بعد,أتناول,الأدوية,الغذاء,(بعد): ظرف زمان.,تطبيقي,,
6060,الصفوف الدراسية,7675,6,مرحلة ابتدائية,الظرف,1,سهل,سافرنا إلى قريتنا أمس. إعراب كلمة (أمس):,ظرف زمان,ظرف مكان,مفعول به,اسم مجرور,إعراب كلمة (أمس): ظرف زمان.,تطبيقي,,
6061,الصفوف الدراسية,7693,6,مرحلة ابتدائية,الظرف,2,متوسط الصعوبة,وضعتُ القلم بجوار الكمبيوتر. إعراب كلمة (جوار):,اسم مجرور,ظرف زمان,ظرف مكان,فاعل,لو حُذِف حرف الجرِّ قبل (بجوار) لصارت كلمة (جوار) ظرفًا.,تطبيقي,,
6062,الصفوف الدراسية,7696,6,مرحلة ابتدائية,الظرف,2,متوسط الصعوبة,يطوف الحجاج حول الكعبة. إعراب كلمة (حول):,ظرف مكان,ظرف زمان,مفعول به,فاعل,إعراب كلمة (حول): ظرف مكان منصوب، وعلامة النصب الفتحة.,تطبيقي,,
6063,الصفوف الدراسية,7697,6,مرحلة ابتدائية,الظرف,2,متوسط الصعوبة,يجلس الفلاح تحت .......,الشجرةِ (بكسر التاء المربوطة),الشجرةَ (بفتح التاء المربوطة),الشجرةُ (بضم التاء المربوطة),الأشجارَ (بفتح الراء),إعراب كلمة (الشجرةِ): مضاف إليه مجرور، وعلامة الجرِّ الكسرة.,تطبيقي,,
6064,الصفوف الدراسية,7692,6,مرحلة ابتدائية,الظرف,2,متوسط الصعوبة,الصديق الحقُّ يظهر عند الشدائد. إعراب (عند):,ظرف زمان,ظرف مكان,فاعل,مفعول به,إعراب (عند): ظرف زمان منصوب، وعلامة النصب الفتحة.,تطبيقي,,
6065,الصفوف الدراسية,7683,6,مرحلة ابتدائية,الظرف,3,صعب,أجلس أمام التلفزيون صباحا. في هذه الجملة من الظروف:,ظرفان,لا يوجد,ظرف واحد,ثلاثة ظروف,يوجد في هذه الجملة ظرفان: (أمام)، وهي ظرف مكان، و (صباحًا)، وهي ظرف زمان.,قواعد نظرية,,
6066,الصفوف الدراسية,7678,6,مرحلة ابتدائية,الظرف,3,صعب,كلُّ ما يلي قد يُعرَب ظرفًا، ما عدا:,سوف,قبل,أمام,صباحًا,(سوف) ليست ظرفًا.,قواعد نظرية,,
6067,الصفوف الدراسية,7684,6,مرحلة ابتدائية,الظرف,3,صعب,تدور النحلة ....... الزهور. أكمل بظرف مكان مما يلي:,حول,في,على,إلى,إعراب كلمة (حول): ظرف مكان منصوب، وعلامة النصب الفتحة.,تطبيقي,,
6068,الصفوف الدراسية,7709,6,مرحلة ابتدائية,المفعول المطلق,1,سهل,أنشأت الدولة المشاريع .......,إنشاءً (بفتح الهمزة),إنشاءٌ (بضمِّ الهمزة),إنشاءٍ (بكسر الهمزة),إنشاءْ (بتسكين الهمزة),المصدر من الفعل الماضي (أنشأ) هو (إنشاء).,تطبيقي,,
6069,الصفوف الدراسية,7750,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,مذكَّر (من أنواع المفعول المطلق أم لا؟),مؤكِّد (من أنواع المفعول المطلق أم لا؟),مبيِّن للنَّوع (من أنواع المفعول المطلق أم لا؟),مبيِّن للعدد (من أنواع المفعول المطلق أم لا؟),كلُّ ما ورد من أنواع المفعول المطلق – باستثناء (مذكَّر).,قواعد نظرية,,
6070,الصفوف الدراسية,7751,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,نوع المفعول المطلق في: ذاكرتُ (مذاكرة) جيِّدة,نوع المفعول المطلق في: قرأتُ (قراءة),نوع المفعول المطلق في: انطلق القطار (انطلاقًا),نوع المفعول المطلق في: فزتُ (فوزًا),المفعول المطلق في جميع الجمل مؤكِّد – أمَّا المفعول المطلق في (ذاكرتُ مذاكرة جيِّدة)، فهو مبيِّن للنَّوع.,قواعد نظرية,,
6071,الصفوف الدراسية,7738,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,سعيتُ لتحصيل العلم سعيًا. المفعول المطلق في الجملة نوعه:,مؤكِّد,مبيِّن للنوع,مبيِّن للعدد,مفعول لأجله,من أنواع المفعول المطلق: المؤكِّد، والمبيِّن للنوع، والمبيِّن للعدد.,تطبيقي,,
6072,الصفوف الدراسية,7739,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,استخرجت الدولة البترول استخراجًا. إعراب كلمة (البترول):,مفعول به,فاعل,مفعول مطلق,مضاف إليه,المفعول به من المنصوبات.,تطبيقي,,
6073,الصفوف الدراسية,7749,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,تميَّز الطالب المجتهد ..... أكمل بمفعولٍ مطلقٍ.,تميُّزًا,تمييزًا,امتيازًا,مميزًا,المصدر من الفعل الماضي (تميَّزَ) هو (تميُّزًا).,تطبيقي,,
6074,الصفوف الدراسية,7760,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,الفاعل,المفعول المطلق,المفعول به,الظَّرف,(المفعول المطلق - المفعول به – الظَّرف) كلُّها منصوبة – أمَّا (الفاعل) فهو مرفوعٌ.,قواعد نظرية,,
6075,الصفوف الدراسية,7753,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,إعراب ما بين القوسَين في: أنفقتُ (مبلغًا),إعراب ما بين القوسَين في: أنفقتُ (إنفاقًا),إعراب ما بين القوسَين في: لم أنافقه (نفاقًا),إعراب ما بين القوسَين في: وافقتُ (موافقةً),كلُّ ما ورد بين الأقواس وقع مفعولا مطلقًا منصوبًا – أمَّا (مبلغًا) في (أنفقتُ مبلغًا)، فإعرابها مفعول به منصوب.,تطبيقي,,
6076,الصفوف الدراسية,7737,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,المفعول المطلق .......,يأتي من لفظ الفعل,يبيِّن هيئة الفاعل,يبيِّن سبب حدوث الفعل,يبيِّن مكان حدوث الفعل,المفعول المطلق هو اسم منصوب يأتي من لفظ الفعل.,قواعد نظرية,,
6077,الصفوف الدراسية,7742,6,مرحلة ابتدائية,المفعول المطلق,2,متوسط الصعوبة,انتصر المسلمون انتصار الأبطال. المفعول المطلق في الجملة نوعه:,مبيِّن للنوع,مؤكِّد,مبيِّن للعدد,مفعول معه,إذا لم يأتِ بعد المفعول المطلق أيُّ كلمة يكون مؤكِّدًا.,تطبيقي,,
6078,الصفوف الدراسية,7716,6,مرحلة ابتدائية,المفعول المطلق,3,صعب,تناولتُ الطعام تناولا بعد عودتي من المدرسة. في الجملة من المنصوبات:,ثلاث كلمات,أربع كلمات,كلمتان,لا يوجد,يوجد في الجملة من الكلمات المنصوبة ثلاث كلمات: الطعام (مفعول به)، وتناولا (مفعول مطلق)، وبعد (ظرف).,تطبيقي,,
